datetime,symbol,open,high,low,close,volume
2022-11-30 16:20:00,NASDAQ:MSFT,240.89,241.25,240.83,240.83,5306.0
2022-11-30 16:25:00,NASDAQ:MSFT,240.82,241.4,240.82,241.27,6345.0
2022-11-30 16:30:00,NASDAQ:MSFT,241.31,241.58,241.12,241.52,10318.0
2022-11-30 16:35:00,NASDAQ:MSFT,241.58,241.845,241.5,241.79,7189.0
2022-11-30 16:40:00,NASDAQ:MSFT,241.88,241.94,241.76,241.89,7100.0
2022-11-30 16:45:00,NASDAQ:MSFT,241.81,242.14,241.77,242.065,13776.0
2022-11-30 16:50:00,NASDAQ:MSFT,242.13,242.23,241.86,242.05,9801.0
2022-11-30 16:55:00,NASDAQ:MSFT,242.08,242.16,241.83,242.07,6301.0
2022-11-30 17:00:00,NASDAQ:MSFT,242.13,242.41,242.08,242.39,4722.0
2022-11-30 17:05:00,NASDAQ:MSFT,242.45,242.47,242.2,242.27,7005.0
2022-11-30 17:10:00,NASDAQ:MSFT,242.28,242.31,242.14,242.26,3718.0
2022-11-30 17:15:00,NASDAQ:MSFT,242.25,242.25,241.72,241.81,10742.0
2022-11-30 17:20:00,NASDAQ:MSFT,241.77,241.88,241.3,241.78,8395.0
2022-11-30 17:25:00,NASDAQ:MSFT,241.77,242.0,241.71,241.83,7306.0
2022-11-30 17:30:00,NASDAQ:MSFT,241.79,242.015,241.75,242.01,4400.0
2022-11-30 17:35:00,NASDAQ:MSFT,241.99,242.03,241.78,241.83,5439.0
2022-11-30 17:40:00,NASDAQ:MSFT,241.87,242.16,241.76,242.09,5550.0
2022-11-30 17:45:00,NASDAQ:MSFT,242.08,242.22,242.0,242.08,5925.0
2022-11-30 17:50:00,NASDAQ:MSFT,242.08,242.13,241.83,242.06,6719.0
2022-11-30 17:55:00,NASDAQ:MSFT,242.05,242.13,241.82,241.86,5300.0
2022-11-30 18:00:00,NASDAQ:MSFT,241.86,242.31,241.83,242.25,5400.0
2022-11-30 18:05:00,NASDAQ:MSFT,242.34,242.46,242.21,242.45,5560.0
2022-11-30 18:10:00,NASDAQ:MSFT,242.51,242.63,242.34,242.48,7210.0
2022-11-30 18:15:00,NASDAQ:MSFT,242.55,242.57,242.44,242.44,4700.0
2022-11-30 18:20:00,NASDAQ:MSFT,242.41,242.5,242.33,242.45,7232.0
2022-11-30 18:25:00,NASDAQ:MSFT,242.48,242.48,241.91,242.05,15746.0
2022-11-30 18:30:00,NASDAQ:MSFT,242.05,244.55,241.57,243.12,62170.0
2022-11-30 18:35:00,NASDAQ:MSFT,243.39,245.26,243.17,244.92,21771.0
2022-11-30 18:40:00,NASDAQ:MSFT,244.88,245.5,244.43,244.88,15263.0
2022-11-30 18:45:00,NASDAQ:MSFT,244.9,245.52,243.96,245.04,22427.0
2022-11-30 18:50:00,NASDAQ:MSFT,244.93,245.4,244.63,245.4,17134.0
2022-11-30 18:55:00,NASDAQ:MSFT,245.49,246.9,245.49,246.58,23310.0
2022-11-30 19:00:00,NASDAQ:MSFT,246.55,247.4,246.55,247.22,16349.0
2022-11-30 19:05:00,NASDAQ:MSFT,247.3,248.1,247.3,247.7,24433.0
2022-11-30 19:10:00,NASDAQ:MSFT,247.75,248.29,247.7,248.11,13715.0
2022-11-30 19:15:00,NASDAQ:MSFT,248.19,249.8,248.09,249.69,21358.0
2022-11-30 19:20:00,NASDAQ:MSFT,249.73,249.99,249.26,249.72,22752.0
2022-11-30 19:25:00,NASDAQ:MSFT,249.8,250.15,249.35,249.63,44040.0
2022-11-30 19:30:00,NASDAQ:MSFT,249.66,249.95,249.3,249.89,18677.0
2022-11-30 19:35:00,NASDAQ:MSFT,249.86,249.9,249.3,249.65,18664.0
2022-11-30 19:40:00,NASDAQ:MSFT,249.66,249.8,249.31,249.54,12101.0
2022-11-30 19:45:00,NASDAQ:MSFT,249.57,250.04,249.45,250.04,20389.0
2022-11-30 19:50:00,NASDAQ:MSFT,250.02,250.67,250.0,250.1,13619.0
2022-11-30 19:55:00,NASDAQ:MSFT,250.16,250.49,249.85,250.49,12720.0
2022-11-30 20:00:00,NASDAQ:MSFT,250.5,250.83,250.21,250.72,16798.0
2022-11-30 20:05:00,NASDAQ:MSFT,250.66,250.89,250.41,250.73,19589.0
2022-11-30 20:10:00,NASDAQ:MSFT,250.77,250.96,250.59,250.92,18019.0
2022-11-30 20:15:00,NASDAQ:MSFT,250.93,251.64,250.8,251.3,38914.0
2022-11-30 20:20:00,NASDAQ:MSFT,251.31,251.45,251.08,251.29,35328.0
2022-11-30 20:25:00,NASDAQ:MSFT,251.31,251.85,251.3,251.84,27798.0
2022-11-30 20:30:00,NASDAQ:MSFT,251.81,252.25,251.78,252.23,35499.0
2022-11-30 20:35:00,NASDAQ:MSFT,252.27,252.555,251.83,251.87,36415.0
2022-11-30 20:40:00,NASDAQ:MSFT,251.83,252.07,251.725,252.07,37118.0
2022-11-30 20:45:00,NASDAQ:MSFT,252.12,252.66,252.12,252.42,35754.0
2022-11-30 20:50:00,NASDAQ:MSFT,252.42,255.25,252.4,254.42,204501.0
2022-11-30 20:55:00,NASDAQ:MSFT,254.41,255.15,254.18,255.15,197695.0
2022-12-01 14:30:00,NASDAQ:MSFT,253.87,255.1,253.13,255.08,48194.0
2022-12-01 14:35:00,NASDAQ:MSFT,255.1,255.53,254.26,254.58,33616.0
2022-12-01 14:40:00,NASDAQ:MSFT,254.58,255.42,254.18,255.17,25414.0
2022-12-01 14:45:00,NASDAQ:MSFT,255.38,256.09,254.96,255.79,33199.0
2022-12-01 14:50:00,NASDAQ:MSFT,255.76,256.07,255.41,255.58,22922.0
2022-12-01 14:55:00,NASDAQ:MSFT,255.71,255.98,254.75,254.85,20001.0
2022-12-01 15:00:00,NASDAQ:MSFT,254.88,255.68,253.92,254.77,26206.0
2022-12-01 15:05:00,NASDAQ:MSFT,254.75,254.99,253.86,253.95,15318.0
2022-12-01 15:10:00,NASDAQ:MSFT,253.96,254.31,252.76,252.91,25924.0
2022-12-01 15:15:00,NASDAQ:MSFT,252.88,253.12,251.87,252.34,25987.0
2022-12-01 15:20:00,NASDAQ:MSFT,252.31,252.51,251.63,251.63,12757.0
2022-12-01 15:25:00,NASDAQ:MSFT,251.62,252.28,251.42,251.61,17230.0
2022-12-01 15:30:00,NASDAQ:MSFT,251.62,251.77,250.93,251.68,17027.0
2022-12-01 15:35:00,NASDAQ:MSFT,251.74,252.22,251.51,252.1,15909.0
2022-12-01 15:40:00,NASDAQ:MSFT,252.08,252.19,251.78,252.12,10096.0
2022-12-01 15:45:00,NASDAQ:MSFT,252.09,252.95,251.94,252.85,17931.0
2022-12-01 15:50:00,NASDAQ:MSFT,252.81,253.6,252.81,253.19,18965.0
2022-12-01 15:55:00,NASDAQ:MSFT,253.21,254.0,253.01,253.97,19990.0
2022-12-01 16:00:00,NASDAQ:MSFT,254.0,254.09,253.66,253.75,12867.0
2022-12-01 16:05:00,NASDAQ:MSFT,253.82,254.0,253.35,253.76,12237.0
2022-12-01 16:10:00,NASDAQ:MSFT,253.75,253.9,253.22,253.65,11207.0
2022-12-01 16:15:00,NASDAQ:MSFT,253.61,253.67,252.83,252.93,17086.0
2022-12-01 16:20:00,NASDAQ:MSFT,252.93,253.4,252.86,253.26,17048.0
2022-12-01 16:25:00,NASDAQ:MSFT,253.24,253.51,252.92,252.92,15699.0
2022-12-01 16:30:00,NASDAQ:MSFT,252.92,253.36,252.64,253.17,15787.0
2022-12-01 16:35:00,NASDAQ:MSFT,253.2,253.26,252.6,252.89,14075.0
2022-12-01 16:40:00,NASDAQ:MSFT,252.91,253.42,252.85,253.37,12236.0
2022-12-01 16:45:00,NASDAQ:MSFT,253.4,253.56,252.88,252.88,7992.0
2022-12-01 16:50:00,NASDAQ:MSFT,252.88,253.24,252.72,252.95,9949.0
2022-12-01 16:55:00,NASDAQ:MSFT,253.03,253.28,252.89,253.21,4666.0
2022-12-01 17:00:00,NASDAQ:MSFT,253.19,253.23,252.33,252.45,11520.0
2022-12-01 17:05:00,NASDAQ:MSFT,252.495,252.91,252.48,252.73,11769.0
2022-12-01 17:10:00,NASDAQ:MSFT,252.68,253.16,252.62,252.96,6686.0
2022-12-01 17:15:00,NASDAQ:MSFT,252.89,253.26,252.82,252.91,6752.0
2022-12-01 17:20:00,NASDAQ:MSFT,252.92,253.6,252.92,253.6,11204.0
2022-12-01 17:25:00,NASDAQ:MSFT,253.68,253.97,253.59,253.82,6722.0
2022-12-01 17:30:00,NASDAQ:MSFT,253.85,254.32,253.83,254.16,12978.0
2022-12-01 17:35:00,NASDAQ:MSFT,254.11,254.27,253.83,254.17,9033.0
2022-12-01 17:40:00,NASDAQ:MSFT,254.12,254.23,253.89,254.07,6586.0
2022-12-01 17:45:00,NASDAQ:MSFT,254.03,254.24,253.92,253.99,6685.0
2022-12-01 17:50:00,NASDAQ:MSFT,254.02,254.27,253.95,253.96,11197.0
2022-12-01 17:55:00,NASDAQ:MSFT,253.96,254.39,253.8,254.31,9421.0
